phase,priority,site_num,domain,city,image_path,dimensions,file_size_target,unique,visual_description,status,notes
"1 — Generic (create ONCE, copy to all 50 sites)",1,ALL,ALL 50 SITES,Generic — no city text,images/services/slab-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Concrete slab floor with moisture; acoustic detection equipment nearby. No text overlay.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",2,ALL,ALL 50 SITES,Generic — no city text,images/services/pinhole-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Close-up corroded copper pipe with pinhole drip. Green oxidation visible.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",3,ALL,ALL 50 SITES,Generic — no city text,images/services/foundation-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,"Basement foundation wall — water staining, efflorescence, moisture damage.",TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",4,ALL,ALL 50 SITES,Generic — no city text,images/services/pipe-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Plumber repairing burst pipe. Wall cavity or under-sink setting.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",5,ALL,ALL 50 SITES,Generic — no city text,images/services/sewer-line-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Sewer camera equipment at cleanout. Camera reel and monitor visible.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",6,ALL,ALL 50 SITES,Generic — no city text,images/services/water-heater-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Water heater tank with moisture pooling at base. Technician inspecting.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",7,ALL,ALL 50 SITES,Generic — no city text,images/services/plumbing-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Plumber with detection equipment in residential home interior.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",8,ALL,ALL 50 SITES,Generic — no city text,images/services/underground-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Technician kneeling in yard using acoustic correlator probes on grass.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",9,ALL,ALL 50 SITES,Generic — no city text,images/services/water-line-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Exposed main service line in open trench. Repair coupling visible.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",10,ALL,ALL 50 SITES,Generic — no city text,images/services/toilet-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Toilet base with water stain on tile floor. Wax ring partially visible.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",11,ALL,ALL 50 SITES,Generic — no city text,images/services/faucet-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Dripping kitchen or bathroom faucet. Water droplet close-up.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",12,ALL,ALL 50 SITES,Generic — no city text,images/services/sink-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Open cabinet under sink — wet P-trap or drain connection dripping.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",13,ALL,ALL 50 SITES,Generic — no city text,images/services/drain-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Drain pipe section with staining or moisture at joint.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",14,ALL,ALL 50 SITES,Generic — no city text,images/services/shower-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Shower floor tile with grout damage. Drain area with flood test water.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",15,ALL,ALL 50 SITES,Generic — no city text,images/services/ceiling-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Brown circular water stain on white painted ceiling drywall.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",16,ALL,ALL 50 SITES,Generic — no city text,images/services/wall-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Thermal imaging camera display showing heat anomaly on wall surface.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",17,ALL,ALL 50 SITES,Generic — no city text,images/services/bathroom-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Technician with moisture meter scanning bathroom wall.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",18,ALL,ALL 50 SITES,Generic — no city text,images/services/bathtub-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Bathtub drain area. Plumber inspecting overflow plate or drain gasket.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",19,ALL,ALL 50 SITES,Generic — no city text,images/services/copper-pipe-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,"Old copper pipe section — green patina, pinholes, visible corrosion.",TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",20,ALL,ALL 50 SITES,Generic — no city text,images/services/pvc-pipe-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,PVC drain pipe with visible crack or root intrusion at joint.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",21,ALL,ALL 50 SITES,Generic — no city text,images/services/pipeline-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Long buried pipeline with two acoustic sensors clamped on pipe.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",22,ALL,ALL 50 SITES,Generic — no city text,images/services/hose-bib-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Exterior wall faucet (hose bib) with frost crack visible. Winter context.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",23,ALL,ALL 50 SITES,Generic — no city text,images/services/pressure-regulator-valve-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Pressure regulator valve on copper supply line. Pressure gauge readable.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",24,ALL,ALL 50 SITES,Generic — no city text,images/services/sump-pump-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Sump pump in concrete basement pit. Discharge line and check valve visible.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",25,ALL,ALL 50 SITES,Generic — no city text,images/services/pool-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Residential swimming pool. Technician with dye test syringe at fitting.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",26,ALL,ALL 50 SITES,Generic — no city text,images/services/above-ground-pool-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Above-ground pool — wet ground patch beneath liner or pump connection.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",27,ALL,ALL 50 SITES,Generic — no city text,images/services/inground-pool-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Inground pool with pressure testing gauge on plumbing access port.,TODO,No city name or text overlay. Generic plumbing photography.
"1 — Generic (create ONCE, copy to all 50 sites)",28,ALL,ALL 50 SITES,Generic — no city text,images/services/pool-liner-leak-detection-and-repair.jpg,800 x 500 px,< 120 KB,NO — same file copied to all 50 sites,Pool vinyl liner — dye test syringe at suspected tear location.,TODO,No city name or text overlay. Generic plumbing photography.
