site_num,domain,city,state,hero_images,service_images,location_images,blog_new_images,blog_reuse_refs,total_new_images,status
01,puebloleakrepairpros.com,Pueblo,CO,1,54,33,0,15,88,TODO
02,coloradospringsleak repairpros.com,Colorado Springs,CO,1,54,33,0,15,88,TODO
03,denverleak repairpros.com,Denver,CO,1,54,33,0,15,88,TODO
04,auroraleak repairpros.com,Aurora,CO,1,54,33,0,15,88,TODO
05,ftcollinsleak repairpros.com,Fort Collins,CO,1,54,33,0,15,88,TODO
06,lakewoodleak repairpros.com,Lakewood,CO,1,54,33,0,15,88,TODO
07,thorntonleak repairpros.com,Thornton,CO,1,54,33,0,15,88,TODO
08,arapahoecoleleak repairpros.com,Arvada,CO,1,54,33,0,15,88,TODO
09,westminsterleak repairpros.com,Westminster,CO,1,54,33,0,15,88,TODO
10,arapahoeleak repairpros.com,Centennial,CO,1,54,33,0,15,88,TODO
11,highlandsleak repairpros.com,Highlands Ranch,CO,1,54,33,0,15,88,TODO
12,boulderco leak repairpros.com,Boulder,CO,1,54,33,0,15,88,TODO
13,greeleyleak repairpros.com,Greeley,CO,1,54,33,0,15,88,TODO
14,longmontleak repairpros.com,Longmont,CO,1,54,33,0,15,88,TODO
15,lovelendleak repairpros.com,Loveland,CO,1,54,33,0,15,88,TODO
16,broom fieldleak repairpros.com,Broomfield,CO,1,54,33,0,15,88,TODO
17,castlerockco leak.com,Castle Rock,CO,1,54,33,0,15,88,TODO
18,parkercoleak repairpros.com,Parker,CO,1,54,33,0,15,88,TODO
19,commerce cityleak repairpros.com,Commerce City,CO,1,54,33,0,15,88,TODO
20,northglennleak repairpros.com,Northglenn,CO,1,54,33,0,15,88,TODO
21,brightoneoleak repairpros.com,Brighton,CO,1,54,33,0,15,88,TODO
22,dac oleak repairpros.com,Dacono,CO,1,54,33,0,15,88,TODO
23,sterlingcoleak repairpros.com,Sterling,CO,1,54,33,0,15,88,TODO
24,canon cityleak repairpros.com,Canon City,CO,1,54,33,0,15,88,TODO
25,montroseleak repairpros.com,Montrose,CO,1,54,33,0,15,88,TODO
26,delleak repairpros.com,Delta,CO,1,54,33,0,15,88,TODO
27,grand junctionleak repairpros.com,Grand Junction,CO,1,54,33,0,15,88,TODO
28,durango leak repairpros.com,Durango,CO,1,54,33,0,15,88,TODO
29,pagosa springsleak repairpros.com,Pagosa Springs,CO,1,54,33,0,15,88,TODO
30,alamosaleak repairpros.com,Alamosa,CO,1,54,33,0,15,88,TODO
31,la junta leak repairpros.com,La Junta,CO,1,54,33,0,15,88,TODO
32,lamar coleak repairpros.com,Lamar,CO,1,54,33,0,15,88,TODO
33,trinidad coleak repairpros.com,Trinidad,CO,1,54,33,0,15,88,TODO
34,walsenburg leak repairpros.com,Walsenburg,CO,1,54,33,0,15,88,TODO
35,canon cityleak repairpros.com,Florence,CO,1,54,33,0,15,88,TODO
36,salida coleak repairpros.com,Salida,CO,1,54,33,0,15,88,TODO
37,buena vista leak repairpros.com,Buena Vista,CO,1,54,33,0,15,88,TODO
38,leadvilleleak repairpros.com,Leadville,CO,1,54,33,0,15,88,TODO
39,glenwood springsleak.com,Glenwood Springs,CO,1,54,33,0,15,88,TODO
40,aspen coleak repairpros.com,Aspen,CO,1,54,33,0,15,88,TODO
41,vailcoleak repairpros.com,Vail,CO,1,54,33,0,15,88,TODO
42,steamboat springsleak.com,Steamboat Springs,CO,1,54,33,0,15,88,TODO
43,craig coleak repairpros.com,Craig,CO,1,54,33,0,15,88,TODO
44,meeker coleak repairpros.com,Meeker,CO,1,54,33,0,15,88,TODO
45,rifle coleak repairpros.com,Rifle,CO,1,54,33,0,15,88,TODO
46,fruita coleak repairpros.com,Fruita,CO,1,54,33,0,15,88,TODO
47,palisade coleak repairpros.com,Palisade,CO,1,54,33,0,15,88,TODO
48,cortez coleak repairpros.com,Cortez,CO,1,54,33,0,15,88,TODO
49,telluride leak repairpros.com,Telluride,CO,1,54,33,0,15,88,TODO
50,crested butte leak repairpros.com,Crested Butte,CO,1,54,33,0,15,88,TODO
